City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
144,ujae,8.9322,165.7642,28.04,76,14,8.35,MH,1702331779
145,pandan,14.0453,124.1694,26.07,86,65,3.64,PH,1702331779
146,dunedin,-45.8742,170.5036,10.45,72,87,4.02,NZ,1702331722
147,newman,37.3138,-121.0208,16.24,49,96,1.34,US,1702331720
148,guiuan,11.0333,125.7247,27.96,79,42,3.94,PH,1702331780
149,dobroye,52.8678,39.8109,-6.8,94,100,7.91,RU,1702331780
150,al kharijah,25.4514,30.5464,15.39,48,0,3.27,EG,1702331780
151,saynshand,44.8824,110.1163,-13.9,92,100,3.73,MN,1702331781
152,el alto,-4.2714,-81.2147,25.81,73,12,7.1,PE,1702331781
153,sergeyevka,53.88,67.4158,-30.32,96,6,3.1,KZ,1702331782
154,malakal,9.5334,31.6605,27.59,22,9,2.69,SS,1702331782
155,djamaa,33.5339,5.9931,16.83,45,0,1.36,DZ,1702331782
156,huancabamba,-5.2386,-79.4506,20.76,73,75,0.77,PE,1702331783
157,talnakh,69.4865,88.3972,-26.54,98,100,4.7,RU,1702331558
158,meadow lakes,61.6247,-149.6011,-0.27,90,75,0.0,US,1702331783
159,touros,-5.1989,-35.4608,26.68,75,0,6.19,BR,1702331676
160,kebili,33.7044,8.969,15.33,38,0,3.28,TN,1702331784
161,port arthur,38.8,121.2667,-7.88,74,100,11.85,CN,1702331784
162,pisco,-13.7,-76.2167,23.03,73,0,8.75,PE,1702331745
163,dudinka,69.4058,86.1778,-24.62,98,100,6.26,RU,1702331764
164,zemio,5.0314,25.1361,25.71,61,98,1.27,CF,1702331785
165,songea,-10.6833,35.65,18.5,97,86,1.31,TZ,1702331786
166,masterton,-40.9597,175.6575,16.05,44,24,3.71,NZ,1702331786
167,soto la marina,23.7667,-98.2167,20.44,42,100,5.67,MX,1702331786
168,kirakira,-10.4544,161.9205,28.27,74,76,0.98,SB,1702331787
169,manaure,11.7751,-72.4445,29.96,60,0,8.79,CO,1702331787
170,north bay,46.3168,-79.4663,-3.27,65,40,2.06,CA,1702331788
171,zhaodong,46.0833,125.9833,-27.78,95,37,0.94,CN,1702331788
172,lebu,-37.6167,-73.65,15.18,72,100,3.14,CL,1702331763
173,crane,31.3974,-102.3501,17.23,14,11,2.44,US,1702331760
174,vilyuysk,63.7553,121.6247,-27.07,97,100,3.15,RU,1702331789
175,wotho,10.1657,166.0102,27.73,77,29,8.93,MH,1702331789
176,jeju city,33.5097,126.5219,11.96,76,100,5.66,KR,1702331790
177,port mathurin,-19.6833,63.4167,25.94,76,91,2.67,MU,1702331715
178,iskateley,67.6803,53.1512,-14.48,91,100,8.44,RU,1702331618
179,amga,60.8953,131.9608,-28.85,94,100,2.8,RU,1702331791
180,bowen,-20.0167,148.2333,26.86,81,70,10.06,AU,1702331791
181,kodiak,57.79,-152.4072,-0.27,64,20,3.6,US,1702331705
182,wanning,18.8003,110.3967,22.03,91,38,1.92,CN,1702331790
183,fale old settlement,-9.3852,-171.2468,28.91,77,100,10.02,TK,1702331792
184,springfield,37.2153,-93.2982,11.92,35,0,4.63,US,1702331792
185,itaituba,-4.2761,-55.9836,25.09,88,75,1.54,BR,1702331792
186,terra nova,-12.3667,-40.6667,25.49,36,50,2.61,BR,1702331793
187,natal,-5.795,-35.2094,27.36,74,20,3.6,BR,1702331793
188,kavalerovo,44.2661,135.0572,-11.36,73,100,2.24,RU,1702331793
189,bardai,11.65,7.2333,16.05,29,0,4.24,NG,1702331745
190,nova sintra,14.8667,-24.7167,23.18,68,28,7.35,CV,1702331705
191,sao caetano de odivelas,-0.75,-48.02,26.64,80,67,4.15,BR,1702331794
192,magadan,59.5667,150.8,-9.12,95,100,4.26,RU,1702331794
193,saint-philippe,-21.3585,55.7679,24.77,81,59,4.69,RE,1702331795
194,asker,59.8333,10.4372,-1.32,96,99,2.12,NO,1702331795
195,harstad,68.799,16.5293,-1.58,94,71,1.92,NO,1702331783
196,vorgashor,67.5833,63.95,-19.1,90,100,5.95,RU,1702331720
197,nouadhibou,20.931,-17.0347,22.99,31,24,4.63,MR,1702331796
198,ulsteinvik,62.3432,5.8487,0.97,79,12,0.89,NO,1702331784
199,sitka,57.0531,-135.33,6.94,76,100,5.66,US,1702331705
200,vila velha,-20.3297,-40.2925,27.97,83,20,6.17,BR,1702331731
201,new norfolk,-42.7826,147.0587,16.72,46,90,1.04,AU,1702331756
202,sinabang,2.4803,96.3801,25.91,81,98,0.96,ID,1702331797
203,piacabucu,-10.4056,-36.4344,26.36,78,13,5.99,BR,1702331798
204,san patricio,28.017,-97.5169,20.05,36,100,4.51,US,1702331533
205,hadibu,12.65,54.0333,24.43,69,62,4.54,YE,1702331548
206,kolonia town,6.964,158.206,29.0,79,100,2.57,FM,1702331798
207,baukau,51.5526,7.2042,9.66,83,100,2.24,DE,1702331799
208,sucre,-19.0333,-65.2627,19.74,53,100,2.33,BO,1702331799
209,kavaratti,10.5669,72.642,27.6,79,94,2.95,IN,1702331799
210,fiambala,-27.6871,-67.6149,30.21,29,13,6.44,AR,1702331800
211,georgetown,5.4112,100.3354,26.08,97,20,1.54,MY,1702331538
212,queenstown,-31.8976,26.8753,15.4,79,48,0.49,ZA,1702331800
213,santa marta,11.2408,-74.199,33.03,58,20,1.03,CO,1702331748
214,tucurui,-3.7661,-49.6725,24.3,92,100,0.97,BR,1702331801
215,qaqortoq,60.7167,-46.0333,-1.35,96,100,5.17,GL,1702331540
216,tecate,32.5667,-116.6333,25.17,8,100,1.82,MX,1702331802
217,rustenburg,-25.6676,27.2421,17.24,83,80,2.11,ZA,1702331802
218,cabo san lucas,22.8909,-109.9124,28.12,60,0,2.07,MX,1702331578
219,colonel hill,22.7667,-74.2167,26.67,80,81,6.61,BS,1702331803
220,la ronge,55.1001,-105.2842,-9.86,52,20,9.26,CA,1702331567
221,dalbandin,28.8947,64.4101,12.84,29,95,2.36,PK,1702331804
222,prado,-17.3411,-39.2208,25.53,83,90,6.83,BR,1702331554
